"","J","sday","cday","edate","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",273,-0.999916658654738,-0.0129102960750088,2011-09-30,8.06819720807831e-06,3.29761592169831e-07,0.00019736679085219,0.00012322943818993,5.42043973222811e-06,0.00280152444944974
"2",276,-0.999250011239683,0.038722280892174,2011-10-03,1.72946329455801e-05,9.21908257517894e-07,0.000324346137476499,0.000296994145975326,1.69270021259223e-05,0.00521093588146563
"3",279,-0.995918996147179,0.0902516100310407,2011-10-06,3.62835748145706e-05,2.49641189516623e-06,0.000527114961473376,0.000693510059346425,5.05373857250054e-05,0.00951683977148644
"4",282,-0.989932495087353,0.141540295217043,2011-10-09,7.43550655672374e-05,6.52736534009815e-06,0.000846403028337923,0.00156547832837567,0.000143738157930728,0.0170499081934454
"5",285,-0.981306470271609,0.19245158197083,2011-10-12,0.000148550643082173,1.64285251331724e-05,0.00134180458166278,0.00340869357230267,0.000388069031669612,0.0299410437876674
"6",288,-0.970063921851507,0.242849722095935,2011-10-15,0.000288793552084865,3.96762057238441e-05,0.00209877583201502,0.0071445420344792,0.000991049336044702,0.0515054892081959
"7",291,-0.956234826591906,0.292600335633348,2011-10-18,0.000545327762822379,9.16521493710545e-05,0.00323741429085854,0.0143863104412161,0.00238585674351236,0.0867470055248824
"8",294,-0.939856057941896,0.341570769167855,2011-10-21,0.000998420639402512,0.00020184554899834,0.00492316645772367,0.0277781007294063,0.00539699022939467,0.142972813982579
"9",297,-0.920971287716635,0.389630449530788,2011-10-24,0.00176930050108719,0.000422396724893274,0.00737939263907383,0.0513418880196805,0.0114383120838152,0.23045266173103
"10",300,-0.899630869652244,0.436651231956063,2011-10-27,0.00302958562501726,0.000837170107945712,0.0109009478944994,0.090687197871316,0.0226603977307463,0.362931311068403
"11",303,-0.875891705144243,0.482507741761218,2011-10-30,0.0050042061225144,0.00156654840418467,0.0158656397881683,0.152850266847863,0.0419011677525536,0.557578829626749
"12",306,-0.849817091527528,0.527077708642372,2011-11-02,0.00796076936794667,0.00276038540987581,0.0227349783105518,0.245486701658367,0.0722884131505226,0.833656710178708
"13",309,-0.821476553302415,0.570242292691787,2011-11-05,0.0121779833074749,0.00457257862486334,0.0320261968019776,0.375217128064459,0.116452975984897,1.20896775717607
"14",312,-0.790945656756777,0.611886401268724,2011-11-08,0.0178891088370805,0.00711876879969687,0.0442285619683092,0.545178804862832,0.17551283122071,1.69343703935758
"15",315,-0.758305808478563,0.651898995878712,2011-11-11,0.0252047325085923,0.010430751788562,0.0596431579174264,0.752253575364667,0.248156804614525,2.28035432084139
"16",318,-0.723644038295913,0.690173388242971,2011-11-14,0.0340310751822017,0.0144265626708535,0.078163675120891,0.984885449545839,0.330175660062593,2.9378281504555
"17",321,-0.687052767223667,0.726607524768566,2011-11-17,0.0440103345309177,0.0189070937125608,0.0990776432714902,1.22261951444603,0.414658946330143,3.60488659495634
"18",324,-0.648629561034982,0.761104258660774,2011-11-20,0.0545107722898935,0.0235766248052038,0.121002826169117,1.43823773717144,0.492883396242861,4.19678935097418
"19",327,-0.608476870115126,0.793571608952147,2011-11-23,0.0646820879385444,0.0280780287984663,0.142031784018032,1.60256519658182,0.55573299703642,4.62131135453704
"20",330,-0.566701756291118,0.823923005757554,2011-11-26,0.0735699644176433,0.0320346443455349,0.160054179359314,1.6909124625025,0.59534490222631,4.80256897330314
"21",333,-0.52341560736555,0.852077521101309,2011-11-29,0.0802635591961081,0.035093549599898,0.173140831348526,1.68921447264015,0.606597722201004,4.70401623702672
