"","J","J_centerRange","daySq","edate","J_daySq","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",274,-1.717734855662,2.95061303435615,2011-10-01,"-1.717734855662_2.95061303435615",3.57467884010097e-06,1.0084964846044e-07,0.000126691566660287,0.00608999833498285,1.08398458713104e-05,3.42145821632523
"2",277,-1.63325609226879,2.66752546293312,2011-10-04,"-1.63325609226879_2.66752546293312",9.2859449587933e-06,3.69364451871327e-07,0.000233401499934952,0.012396825497938,3.86968874431359e-05,3.97141198118726
"3",280,-1.54877732887557,2.39871121443895,2011-10-07,"-1.54877732887557_2.39871121443895",2.30223390990444e-05,1.26500285952507e-06,0.000418836861635386,0.0242021123049927,0.000128712337001703,4.55078552427905
"4",283,-1.46429856548236,2.1441702888737,2011-10-10,"-1.46429856548236_2.1441702888737",5.44757030666168e-05,4.04913936966734e-06,0.000732437063105775,0.0453153695023236,0.000398725113670881,5.15012133102588
"5",286,-1.37981980208915,1.90390268623734,2011-10-13,"-1.37981980208915_1.90390268623734",0.000123020611625751,1.21056814645835e-05,0.00124889348058444,0.0813742968984203,0.00114976230902823,5.75925662523146
"6",289,-1.29534103869593,1.67790840652985,2011-10-16,"-1.29534103869593_1.67790840652985",0.000265129903011053,3.37767779556376e-05,0.00207783723740874,0.140145269327624,0.00308415599587921,6.36825651528473
"7",292,-1.21086227530272,1.46618744975128,2011-10-19,"-1.21086227530272_1.46618744975128",0.000545277162308604,8.78635315256358e-05,0.00337592606239284,0.23148300190807,0.00768947196878086,6.96853833266101
"8",295,-1.12638351190951,1.2687398159016,2011-10-22,"-1.12638351190951_1.2687398159016",0.00107005789970197,0.000212824787650051,0.00536160807385468,0.366698588912771,0.0178005983035849,7.55411996930105
"9",298,-1.04190474851629,1.08556550498079,2011-10-25,"-1.04190474851629_1.08556550498079",0.00200335144239845,0.000479327953357783,0.00833261229736011,0.557120118258457,0.0382109504402506,8.1228763637705
"10",301,-0.957425985123082,0.916664516988904,2011-10-28,"-0.957425985123082_0.916664516988904",0.00357738105250429,0.00100225635630342,0.0126848327859055,0.811779190654022,0.0759410364750105,8.67759363010204
