"","H","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.262391504313448,0.208016246399103,0.316766762227793,5.06222214015859,1.77802438366975,8.34641989664744
"2",1,0.255399957795686,0.202086203612905,0.308713711978467,4.58621079965742,1.60549018562761,7.56693141368724
"3",2,0.247328812387279,0.195276458162274,0.299381166612283,4.11819924965837,1.43555303922542,6.80084546009133
"4",3,0.238803914912511,0.188123025695188,0.289484804129833,3.69213402594387,1.28090087902256,6.10336717286519
"5",4,0.230438905048705,0.181139625495465,0.279738184601945,3.32994624387249,1.14961644010851,5.51027604763648
"6",5,0.222784517205777,0.174777550020774,0.270791484390779,3.04307986470421,1.04575228418081,5.0404074452276
"7",6,0.216297176351686,0.169404206926595,0.263190145776777,2.8355184264179,0.970510602578903,4.70052625025689
"8",7,0.21132659730668,0.165297508716057,0.257355685897302,2.70705850965535,0.923525914887508,4.49059110442319
"9",8,0.208117099132007,0.16265011011794,0.253584088146075,2.65603623416074,0.903930164249439,4.40814230407204
"10",9,0.206815412337471,0.161577285726157,0.252053538948786,2.6811542914608,0.911062870818519,4.45124571210307
"11",10,0.207478569879974,0.16212378491267,0.252833354847277,2.78232779984073,0.944806357899553,4.61984924178191
"12",11,0.210077694539302,0.164266952922455,0.255888436156148,2.96054741765649,1.00556369735998,4.91553113795299
"13",12,0.214496028690017,0.167915117822464,0.26107693955757,3.21671822890749,1.09387748620948,5.3395589716055
"14",13,0.220522044256983,0.172901744942738,0.268142343571229,3.54940051755322,1.20965679771199,5.88914423739445
"15",14,0.227840996620259,0.178977476519111,0.276704516721408,3.95151775621514,1.35100125852143,6.55203425390884
"16",15,0.236030694827289,0.185804079608043,0.286257310046535,4.4065539207062,1.51275444649728,7.30035339491511
"17",16,0.244568689088571,0.192956124094692,0.296181254082449,4.88551583544743,1.68520722607332,8.08582444482153
"18",17,0.252857151647002,0.199936743059452,0.305777560234553,5.34660305258237,1.85368651788582,8.83951958727892
"19",18,0.26026764744609,0.206211687335874,0.314323607556307,5.73937818893199,1.99980928137329,9.47894709649068
"20",19,0.266201744507582,0.211260741825125,0.321142747190038,6.01370565160312,2.10466630659024,9.92274499661601
"21",20,0.2701576960621,0.214639133635638,0.325676258488562,6.1312285483322,2.1532054159165,10.1092516807479
"22",21,0.271790855373759,0.216036826150038,0.32754488459748,6.07520742212526,2.13820492606024,10.0122099181903
"23",22,0.270956726406138,0.21532274202678,0.326590710785496,5.8547213148262,2.06217569279802,9.64726693685437
"24",23,0.267729266716232,0.212564051169673,0.322894482262791,5.50167449312043,1.93645252198106,9.0668964642598
"25",24,0.262391504313448,0.208016246399103,0.316766762227793,5.06222214015859,1.77802438366975,8.34641989664744
